target_record_number,target_job_value,neighbor_rank,distance,neighbor_record_number,neighbor_record_date,neighbor_job_value,neighbor_company_name,neighbor_address
BLD-26-02664,7200.0,1,0.5446467628842503,BLD-26-01137,2026-02-12,500.0,Unknown,2406 S 18 ST
BLD-26-02664,7200.0,2,0.5481206993187635,BLD-25-16068,2025-11-14,10000.0,BOSA RESTORATION,2505 S 21 ST
BLD-26-02664,7200.0,3,0.7935602395002391,BLD-26-01422,2026-02-20,2500.0,PEERLESS HOMES,307 WOOLWORTH AV
BLD-26-02664,7200.0,4,0.9214272598643777,BLD-25-15800,2025-11-07,10682.41,BN ENTERPRISES LLC,2607 S 31 ST
BLD-26-02664,7200.0,5,0.9298862040272946,BLD-25-16968,2025-12-20,7820.0,BEST ROOFING,2614 S 34 ST
BLD-26-02664,7200.0,6,1.0026912988937822,BLD-26-00291,2026-01-11,4500.0,LORSAL CONSTRUCTION LLC,2507 BANCROFT ST
BLD-26-02664,7200.0,7,1.0280817355554044,BLD-26-00188,2026-01-08,1500.0,MENDOZA COMPANY,721 1/2 PIERCE ST
BLD-26-02664,7200.0,8,1.0613874971297306,BLD-25-17067,2025-12-29,12754.5,HOMETOWN ROOFING,6512 S 28 ST
BLD-26-02664,7200.0,9,1.1735245395010845,BLD-25-16231,2025-11-19,8251.77,BULLDOG ROOFING,3035 CALIFORNIA ST
BLD-26-02664,7200.0,10,1.2216240719549991,BLD-25-16630,2025-12-04,12000.0,SUPERLATIVE RESTORATION,4532 S 15 ST
BLD-26-02664,7200.0,11,1.3499579380383997,BLD-26-02471,2026-03-20,6113.0,4140 S 52ND ST.,4153 J ST
BLD-26-02664,7200.0,12,1.379810220097359,BLD-26-01436,2026-02-20,1500.0,APOLLO RESTORATION,3355 T ST
BLD-26-02666,8900.0,1,0.32106526663018214,BLD-25-16283,2025-11-20,6000.0,MG FERN PROPERTIES LLC,3458 S 16 ST
BLD-26-02666,8900.0,2,0.6264956267833559,BLD-26-02123,2026-03-10,16000.0,"HOME PRIDE CONTRACTORS, INC",2755 S 13 ST
BLD-26-02666,8900.0,3,0.6310678269579496,BLD-26-02301,2026-03-17,7325.0,White Castle Roofing,3115 SPRING ST
BLD-26-02666,8900.0,4,0.6752568958136645,BLD-26-01726,2026-03-02,15000.0,MCCOY ROOFING HOLDINGS,4681 PINE ST
BLD-26-02666,8900.0,5,0.6868275630949527,BLD-25-15682,2025-11-06,6500.0,"CHANDLER & CHANDLER CONSTRUCTION, LLC",4228 F ST
BLD-26-02666,8900.0,6,0.7142681488634989,BLD-25-15539,2025-11-04,18000.0,RESULTS CONTRACTING,1914 S 34 ST
BLD-26-02666,8900.0,7,0.7279560623071597,BLD-25-16390,2025-11-25,6500.0,OPTIMUS ROOFING AND GUTTERS LLC,2331 S 24 ST
BLD-26-02666,8900.0,8,0.7317411995936572,BLD-25-17101,2025-12-30,15000.0,Unknown,4916 J ST
BLD-26-02666,8900.0,9,0.7855662147370095,BLD-26-02464,2026-03-19,2000.0,"THE OLAM, LLC",4519 MARCY ST
BLD-26-02666,8900.0,10,0.8184486760883344,BLD-25-16428,2025-11-25,4000.0,MG FERN PROPERTIES LLC,3457 S 16 ST
BLD-26-02666,8900.0,11,0.8304081132066039,BLD-25-15947,2025-11-11,12000.0,MICHAEL'S ROOFING & RESTORATION LLC,4215 S 12 ST
BLD-26-02666,8900.0,12,0.8477532813821813,BLD-26-01783,2026-03-03,9985.48,CANOPY HOLDINGS OF NEBRASKA LLC DBA AGR ROOFING & CONSTRUCTION,978 S 50 ST
BLD-26-02779,90000.0,1,6.5457526401563895,BLD-26-01813,2026-03-03,26517.95,RELIABLE ROOFING GUTTERS & SIDING,13905 N 72 ST
BLD-26-02779,90000.0,2,6.5457526401563895,BLD-26-01810,2026-03-03,15667.7,RELIABLE ROOFING GUTTERS & SIDING,13905 N 72 ST
BLD-26-02779,90000.0,3,10.020907979392028,BLD-26-01143,2026-02-12,5126.26,ROYALTY ROOFING INC,3640 STATE ST
BLD-26-02779,90000.0,4,12.823193120979035,BLD-26-01910,2026-03-06,1400.0,ORLANDO'S LANDSCAPING & CONCRETE LLC,6818 HARTMAN AV
BLD-26-02779,90000.0,5,14.138811633783531,BLD-26-01295,2026-02-18,29836.0,EMERALD ROOFING DBA RONNOCO CONSTRUCTION INC,9975 BLOOMFIELD DR
BLD-26-02779,90000.0,6,14.273063794290428,BLD-25-16122,2025-11-17,150000.0,"EBW,LLC",3306 S 173 ST
BLD-26-02779,90000.0,7,14.873331001062935,BLD-26-02360,2026-03-17,30000.0,REAVIS ROOFING,4843 S 236 CR
BLD-26-02779,90000.0,8,15.17312580589544,BLD-26-00987,2026-02-09,18345.0,WEATHERGUARD INC,13405 EAGLE RUN DR
BLD-26-02779,90000.0,9,15.66102377193013,BLD-26-00732,2026-01-30,18915.0,EMERALD ROOFING DBA RONNOCO CONSTRUCTION INC,10010 BLOOMFIELD DR
BLD-26-02779,90000.0,10,15.75486047910239,BLD-25-16087,2025-11-17,32350.0,RED RHINO ROOFS & SOLAR LLC,840 LOVELAND DR
BLD-26-02779,90000.0,11,16.064485408553104,BLD-26-01852,2026-03-04,43587.0,WEATHERGUARD INC,17330 VALLEY DR
BLD-26-02779,90000.0,12,16.166674708499627,BLD-26-02627,2026-03-24,13675.88,ROYALTY ROOFING INC,12915 N 182 ST
BLD-26-02680,9900.0,1,0.8322883435018141,BLD-26-02621,2026-03-23,16000.0,"TRUE PRO EXTERIORS, INC",5606 FLORENCE BD
BLD-26-02680,9900.0,2,1.2207503425033124,BLD-25-15908,2025-11-11,17000.0,RESULTS CONTRACTING,2431 LAUREL AV
BLD-26-02680,9900.0,3,1.3684801284514845,BLD-26-02057,2026-03-10,24880.0,APPLE ROOFING,
BLD-26-02680,9900.0,4,1.3795758866400152,BLD-26-01525,2026-02-24,21596.46,INNOVATIVE CONTRACTORS,3335 SUMMIT ST
BLD-26-02680,9900.0,5,1.3855694959816502,BLD-26-01497,2026-02-23,12000.0,SHAMROCK HILLS LLC,2855 BRISTOL ST
BLD-26-02680,9900.0,6,1.49882183236661,BLD-26-01108,2026-02-11,10000.0,PREMIER EXTERIORS INC,2933 CHARLES ST
BLD-26-02680,9900.0,7,1.5374859812350299,BLD-26-02132,2026-03-12,13000.0,FLIPPING LEGACY LLC,4905 N 38 ST
BLD-26-02680,9900.0,8,1.5595038754201471,BLD-25-15506,2025-11-04,19872.01,AMERIPRO ROOFING OF NEBRASKA,6720 N 24 ST
BLD-26-02680,9900.0,9,1.5640606176495506,BLD-25-16055,2025-11-14,13000.0,RESULTS CONTRACTING,3030 TITUS AV
BLD-26-02680,9900.0,10,1.569043503370145,BLD-25-15544,2025-11-04,6141.03,VERNCO ROOFING,5323 N 25 AV
BLD-26-02680,9900.0,11,1.5719657362381583,BLD-26-02296,2026-03-17,7200.0,VELAS CONSTRUCTION,2447 SPAULDING ST
BLD-26-02680,9900.0,12,1.5933191165931384,BLD-25-15890,2025-11-10,9590.0,SUPERIOR CONTRACTORS LLC,3167 CURTIS AV
BLD-26-02693,7150.0,1,0.0972688116231255,BLD-25-17060,2025-12-29,10082.0,MOOSE ROOFING,7510 HOWELL ST
BLD-26-02693,7150.0,2,0.09945826141858395,BLD-26-00965,2026-02-06,10000.0,SOUTH O ROOFING,8928 N 78 AVENUE CR
BLD-26-02693,7150.0,3,0.11190040859458239,BLD-26-02416,2026-03-18,39612.0,White Castle Roofing,7841 BONDESSON ST
BLD-26-02693,7150.0,4,0.24988849635399932,BLD-25-16160,2025-11-18,9381.0,"LIGHTNING EXTERIORS, LLC",8827 N 82 ST
BLD-26-02693,7150.0,5,0.3005998656374546,BLD-25-16668,2025-12-08,9882.0,TURTLE ROOFING OMAHA,8844 N 82 AV
BLD-26-02693,7150.0,6,0.32729242364324146,BLD-25-16572,2025-12-03,9788.0,TURTLE ROOFING OMAHA,8191 TUCKER ST
BLD-26-02693,7150.0,7,0.36260270060422484,BLD-25-15760,2025-11-06,13913.0,MOOSE ROOFING,7809 N 86 AV
BLD-26-02693,7150.0,8,0.3887487175874074,BLD-25-15775,2025-11-06,8000.0,TIMBER RIDGE ROOFING & EXTERIORS,8507 POTTER ST
BLD-26-02693,7150.0,9,0.3909473494789239,BLD-25-16130,2025-11-17,10000.0,SHAMROCK HILLS LLC,8198 TUCKER ST
BLD-26-02693,7150.0,10,0.42816962630252015,BLD-26-02485,2026-03-20,9500.0,QUALITY HOME INSPECTIONS,7360 N 77 AV
BLD-26-02693,7150.0,11,0.4508313473104479,BLD-25-16900,2025-12-17,5834.57,BULLDOG ROOFING,7754 POTTER ST
BLD-26-02693,7150.0,12,0.46844194167187125,BLD-25-16318,2025-11-21,18000.0,RESULTS CONTRACTING,8116 POTTER ST
BLD-26-02700,5471.0,1,0.4680440240704676,BLD-25-16996,2025-12-22,500.0,CASA CANO ROOFING EXTERIORS LLC D/B/A ROOFORIA HOME EXTERIORS,1721 SPRAGUE ST
BLD-26-02700,5471.0,2,0.47458777913855515,BLD-25-16170,2025-11-18,12000.0,Dethlefs Homes,2206 OGDEN ST
BLD-26-02700,5471.0,3,0.5490700995717648,BLD-26-01249,2026-02-17,10000.0,FLIPPING LEGACY LLC,2628 LIZZIE ROBINSON AV
BLD-26-02700,5471.0,4,0.5628974823856279,BLD-26-00296,2026-01-12,10200.0,BEST ROOFING,2855 BROWNE ST
BLD-26-02700,5471.0,5,0.587463623196051,BLD-25-15544,2025-11-04,6141.03,VERNCO ROOFING,5323 N 25 AV
BLD-26-02700,5471.0,6,0.6348153609988203,BLD-25-16071,2025-11-14,15000.0,COMPLETE PROJECT CONTRACTORS,3472 LARIMORE AV
BLD-26-02700,5471.0,7,0.6595357421783515,BLD-25-16365,2025-11-24,5950.0,HORN INDUSTRIES CORPORATION,2508 EMMET ST
BLD-26-02700,5471.0,8,0.6971031007609032,BLD-26-02296,2026-03-17,7200.0,VELAS CONSTRUCTION,2447 SPAULDING ST
BLD-26-02700,5471.0,9,0.7244548586317339,BLD-26-01727,2026-03-02,10000.0,MCCOY ROOFING HOLDINGS,2506 N 49 ST
BLD-26-02700,5471.0,10,0.7795194715884681,BLD-25-16829,2025-12-15,9475.63,BULLDOG ROOFING,5213 N 14 AV
BLD-26-02700,5471.0,11,0.8119749932895581,BLD-25-16115,2025-11-17,12152.0,MILLARD GUTTERS CO DBA MILLARD ROOFING AND GUTTER,2909 N 47 AV
BLD-26-02700,5471.0,12,0.8172982729799649,BLD-25-15914,2025-11-11,9000.0,ALL STAR EXTERIORS LLC,3018 STONE AV
BLD-26-02704,28649.23,1,1.9992727163757642,BLD-26-02627,2026-03-24,13675.88,ROYALTY ROOFING INC,12915 N 182 ST
BLD-26-02704,28649.23,2,2.0714242904764903,BLD-26-01174,2026-02-13,32643.38,BB Roofing,3906 N 195 ST
BLD-26-02704,28649.23,3,2.2402577237206307,BLD-26-00664,2026-01-27,13902.0,MILLARD GUTTERS CO DBA MILLARD ROOFING AND GUTTER,12756 REYNOLDS ST
BLD-26-02704,28649.23,4,2.329108884926281,BLD-25-17089,2025-12-30,34199.0,MILLARD GUTTERS CO DBA MILLARD ROOFING AND GUTTER,3435 N 161 AV
BLD-26-02704,28649.23,5,2.4103382421935478,BLD-25-15524,2025-11-04,22458.0,RED RHINO ROOFS & SOLAR LLC,14021 EAGLE RUN DR
BLD-26-02704,28649.23,6,2.5910253840588786,BLD-26-01715,2026-03-02,54959.69,ERIE CONSTRUCTION MID-WEST INC,15201 JAYNES ST
BLD-26-02704,28649.23,7,2.5951514873199653,BLD-26-02287,2026-03-17,14691.89,ROYALTY ROOFING INC,1442 N 133 ST
BLD-26-02704,28649.23,8,2.6032873357769897,BLD-26-01103,2026-02-11,18859.0,SKYLINE IMAGING LLC,16419 N HWS CLEVELAND BD
BLD-26-02704,28649.23,9,2.6140584578808044,BLD-26-01492,2026-02-23,10613.8,ROYALTY ROOFING INC,7919 N 173 TERRACE CR
BLD-26-02704,28649.23,10,2.63689139043912,BLD-26-02558,2026-03-23,15774.32,BULLDOG ROOFING,2411 N 188 ST
BLD-26-02704,28649.23,11,2.6831985373511964,BLD-25-15680,2025-11-06,22709.0,TURTLE ROOFING OMAHA,17104 PHOEBE ST
BLD-26-02704,28649.23,12,2.7034122107860408,BLD-25-15891,2025-11-10,10000.0,"MAXIM ENTERPRISES, LLC - DBA MAXIM HOMES",6205 N 153 AV
BLD-26-02713,30000.0,1,2.341706217865616,BLD-26-01910,2026-03-06,1400.0,ORLANDO'S LANDSCAPING & CONCRETE LLC,6818 HARTMAN AV
BLD-26-02713,30000.0,2,2.992255377933904,BLD-26-02360,2026-03-17,30000.0,REAVIS ROOFING,4843 S 236 CR
BLD-26-02713,30000.0,3,3.175547511050745,BLD-26-01413,2026-02-19,10500.0,GINGERICH STRUCTURES,8704 BOYD ST
BLD-26-02713,30000.0,4,3.2249612072243674,BLD-26-01838,2026-03-04,26750.0,NATHAN JAMES CONSTRUCTION INC.,8216 KEYSTONE DR
BLD-26-02713,30000.0,5,3.572764338621487,BLD-26-00987,2026-02-09,18345.0,WEATHERGUARD INC,13405 EAGLE RUN DR
BLD-26-02713,30000.0,6,3.579964280271509,BLD-25-16122,2025-11-17,150000.0,"EBW,LLC",3306 S 173 ST
BLD-26-02713,30000.0,7,3.5961740638807407,BLD-25-15887,2025-11-10,5182.62,"PYRAMID ROOFING (AKA PYRAMID CONTRACTORS, INC)",521 BEVERLY DR
BLD-26-02713,30000.0,8,3.7582240122811874,BLD-25-16972,2025-12-22,23000.0,"NASTASE CONTRACTING, INC.",7053 STARLITE DR
BLD-26-02713,30000.0,9,3.798311116048812,BLD-25-17089,2025-12-30,34199.0,MILLARD GUTTERS CO DBA MILLARD ROOFING AND GUTTER,3435 N 161 AV
BLD-26-02713,30000.0,10,3.816295256887663,BLD-25-15626,2025-11-05,6500.0,NEW ENERGY LLC,11716 MAYBERRY ST
BLD-26-02713,30000.0,11,3.90285109447877,BLD-25-15487,2025-11-03,3600.0,PAUL DAVIS SYSTEMS,7524 WIRT ST
BLD-26-02713,30000.0,12,3.9801289041423766,BLD-25-16006,2025-11-13,50000.0,BB Roofing,18418 PIERCE CR
BLD-26-02714,45550.0,1,2.6396972531518763,BLD-26-01174,2026-02-13,32643.38,BB Roofing,3906 N 195 ST
BLD-26-02714,45550.0,2,2.7025902431521076,BLD-25-17089,2025-12-30,34199.0,MILLARD GUTTERS CO DBA MILLARD ROOFING AND GUTTER,3435 N 161 AV
BLD-26-02714,45550.0,3,2.760761694374679,BLD-26-01728,2026-03-02,35000.0,MCCOY ROOFING HOLDINGS,13940 EAGLE RUN DR
BLD-26-02714,45550.0,4,2.860070459638584,BLD-25-16512,2025-12-02,2342.73,EMERALD ROOFING DBA RONNOCO CONSTRUCTION INC,1315 N 129 CR
BLD-26-02714,45550.0,5,2.893193679805216,BLD-26-02287,2026-03-17,14691.89,ROYALTY ROOFING INC,1442 N 133 ST
BLD-26-02714,45550.0,6,2.901689888422568,BLD-26-02295,2026-03-17,46901.64,SQUAREUP EXTERIORS,18703 N HWS CLEVELAND BD
BLD-26-02714,45550.0,7,2.966603914643403,BLD-25-15524,2025-11-04,22458.0,RED RHINO ROOFS & SOLAR LLC,14021 EAGLE RUN DR
BLD-26-02714,45550.0,8,3.0937263078310133,BLD-26-02627,2026-03-24,13675.88,ROYALTY ROOFING INC,12915 N 182 ST
BLD-26-02714,45550.0,9,3.178289208552805,BLD-26-00065,2026-01-05,11255.0,WEATHERGUARD INC,13808 CHARLES ST
BLD-26-02714,45550.0,10,3.2399140661569095,BLD-25-15912,2025-11-11,27000.0,SHAMROCK HILLS LLC,2508 N 161 ST
BLD-26-02714,45550.0,11,3.325723006354592,BLD-26-00664,2026-01-27,13902.0,MILLARD GUTTERS CO DBA MILLARD ROOFING AND GUTTER,12756 REYNOLDS ST
BLD-26-02714,45550.0,12,3.3402075635996016,BLD-26-00987,2026-02-09,18345.0,WEATHERGUARD INC,13405 EAGLE RUN DR
BLD-26-02722,16280.18,1,0.20737254061025537,BLD-26-02368,2026-03-17,14800.0,Property Flips LLC,15117 OHIO ST
BLD-26-02722,16280.18,2,0.2177518657712818,BLD-26-02245,2026-03-16,14353.0,RED RHINO ROOFS & SOLAR LLC,2504 N 154 AV
BLD-26-02722,16280.18,3,0.25546560272719204,BLD-25-15448,2025-11-03,12658.3,CANOPY HOLDINGS OF NEBRASKA LLC DBA AGR ROOFING & CONSTRUCTION,2705 N 153 AV
BLD-26-02722,16280.18,4,0.28702148319103,BLD-26-01778,2026-03-03,8299.05,CANOPY HOLDINGS OF NEBRASKA LLC DBA AGR ROOFING & CONSTRUCTION,2422 N 154 AV
BLD-26-02722,16280.18,5,0.42822463049301285,BLD-25-16373,2025-11-24,23889.57,AMERIPRO ROOFING OF NEBRASKA,16009 TAYLOR ST
BLD-26-02722,16280.18,6,0.42829337659761635,BLD-26-02337,2026-03-17,6240.0,RED RHINO ROOFS & SOLAR LLC,15706 FRANKLIN ST
BLD-26-02722,16280.18,7,0.445989384305971,BLD-25-16304,2025-11-21,11648.82,BULLDOG ROOFING,4243 N 163 AV
BLD-26-02722,16280.18,8,0.4934091437812434,BLD-25-15987,2025-11-13,4800.0,KW ENTERPRISE,15712 LAFAYETTE AV
