licensed_company_name,job_count,median_job_value,median_job_value_per_bldg_sf,median_bldg_sf,first_seen,last_seen
RESULTS CONTRACTING,49,13000.0,9.090909090909092,1380.0,2025-11-03,2026-04-03
ROYALTY ROOFING INC,35,8584.06,4.690121654501216,1797.0,2025-11-03,2026-04-14
BULLDOG ROOFING,27,8187.57,5.713721397029305,1173.0,2025-11-17,2026-04-14
"PYRAMID ROOFING (AKA PYRAMID CONTRACTORS, INC)",23,5314.35,3.6692991913746633,1379.0,2025-11-06,2026-04-06
SHAMROCK HILLS LLC,20,15000.0,8.587577787514913,1685.5,2025-11-05,2026-04-08
ANCHOR ROOFING & LANDSCAPING LLC,18,16500.0,10.358677551408018,1770.5,2025-11-03,2026-04-06
MCCOY ROOFING HOLDINGS,18,13500.0,9.090431034852823,1483.5,2025-11-11,2026-04-13
4140 S 52ND ST.,18,9480.0,8.159585314082559,1090.0,2025-12-01,2026-03-27
HOMETOWN ROOFING,17,12451.35,9.202380952380953,1232.0,2025-11-18,2026-04-09
RED RHINO ROOFS & SOLAR LLC,17,10210.04,6.131539044730856,1448.0,2025-11-04,2026-04-14
TURTLE ROOFING OMAHA,16,15745.5,10.682510166952055,1287.0,2025-11-03,2026-03-26
HORN INDUSTRIES CORPORATION,15,6000.0,5.147058823529412,1282.0,2025-11-05,2026-04-13
CASA CANO ROOFING EXTERIORS LLC D/B/A ROOFORIA HOME EXTERIORS,15,500.0,0.41981528127623846,1191.0,2025-11-07,2026-04-09
"HOME PRIDE CONTRACTORS, INC",14,18750.0,10.610451076982518,1682.5,2025-11-05,2026-04-03
ERIE CONSTRUCTION MID-WEST INC,13,35460.0,27.40340030911901,1276.0,2025-11-02,2026-04-03
WEATHERGUARD INC,13,14563.0,4.425824731835661,3495.0,2025-11-10,2026-04-13
CANOPY HOLDINGS OF NEBRASKA LLC DBA AGR ROOFING & CONSTRUCTION,13,8299.05,5.512600334448161,1500.0,2025-11-03,2026-04-14
MOOSE ROOFING,12,14013.5,11.885331691549947,1117.0,2025-11-06,2026-04-01
EVERLAST EXTERIORS,12,9111.5,6.13083240307291,1335.5,2025-11-01,2026-04-13
"MCKINNIS ROOFING AND SHEET METAL, LLC",11,13595.0,10.533279220779221,1731.0,2025-11-06,2026-04-13
BEST ROOFING,10,9460.0,7.881264637002342,1144.5,2025-11-28,2026-04-04
MILLARD GUTTERS CO DBA MILLARD ROOFING AND GUTTER,10,8958.5,6.142959770114943,1223.5,2025-11-03,2026-04-13
BN ENTERPRISES LLC,9,10682.41,8.131641391614629,1184.0,2025-11-05,2026-04-13
White Castle Roofing,9,7325.0,3.4268891069676153,1504.0,2026-03-17,2026-04-09
SOUTH O ROOFING,8,15500.0,9.12962962962963,1564.5,2025-11-04,2026-04-14
VERNCO ROOFING,8,6220.77,3.8851554602590306,1725.0,2025-11-04,2026-04-13
SKYLINE IMAGING LLC,7,19950.0,12.004455760662,1544.0,2025-11-18,2026-04-13
AVID RESTORATION LLC,7,11600.0,7.842495826377295,1198.0,2025-11-03,2026-04-14
EMERALD ROOFING DBA RONNOCO CONSTRUCTION INC,7,10404.0,4.36130966105603,3060.0,2025-11-10,2026-03-27
PINNACLE ROOFING LLC,6,19000.0,9.345968333857607,2018.5,2025-11-03,2026-04-14
AMERIPRO ROOFING OF NEBRASKA,6,16951.6,13.194905769927736,1229.0,2025-11-04,2026-04-06
TDH HOME BUILDING INC,6,12351.5,11.252662444650397,1348.0,2025-11-05,2026-03-16
LEGACY RESTORATION,6,12241.5,9.184790354553988,1157.5,2025-11-04,2025-11-26
APPLE ROOFING,6,12120.0,9.043989704244632,1233.0,2026-02-25,2026-04-08
"ANDERSON ENTERPRISES, INC",6,12000.0,5.401111526850798,2072.5,2026-03-26,2026-04-03
STARPOWER EXTERIOR INC,6,10600.54,9.606481481481481,960.0,2025-11-14,2026-03-10
WHITE CASTLE ROOFING & CONTRACTING INC,6,6097.5,4.7965975987815685,1343.0,2025-11-06,2026-02-12
REAVIS ROOFING,6,6000.0,4.3700135800373445,1462.0,2025-11-12,2026-03-27
APPLE ROOFING LLC,5,26615.77,15.120967741935484,1110.0,2025-11-06,2026-04-03
SQUAREUP EXTERIORS,5,15668.35,9.76221183800623,1999.0,2025-11-21,2026-03-25
FULL CIRCLE ROOFING,5,15000.0,9.765625,1557.0,2025-11-11,2026-04-13
LA LOMA ROOFING,5,13000.0,11.77536231884058,1170.0,2025-11-05,2026-03-25
INNOVATIVE CONTRACTORS,4,19242.03,10.051341172958043,1519.0,2025-11-07,2026-03-30
THOMPSON AND THOMPSON 3RD GENERATION,4,17365.825,14.194687401651052,1262.0,2025-11-24,2026-03-27
Unknown,4,14250.0,9.698580645620352,1121.0,2025-11-18,2026-03-30
"DOLL HOUSE INVESTMENTS, LLC DBA DHI",4,13370.455,8.250203314425397,1297.0,2025-11-06,2026-01-13
BLU GENERAL CONTRACTING,4,12050.0,11.303021676359347,1183.0,2025-11-07,2026-04-06
MCCRIGHT PROPERTIES LLC,4,4750.0,3.617697532905768,1315.5,2025-12-02,2026-03-16
"EBW,LLC",3,34000.0,18.01801801801802,2282.0,2025-11-17,2026-03-22
FIRST CHOICE GUTTERS & SIDING,3,20000.0,5.093497662558436,3099.0,2025-11-03,2026-03-02
RELIABLE ROOFING GUTTERS & SIDING,3,15667.7,8.464451647757969,1851.0,2026-03-03,2026-03-25
COMBOVER LLC,3,14843.0,7.324985092426953,1677.0,2026-03-12,2026-04-08
NELSON CONTRACTING LLC,3,13300.3,9.166898928024501,1897.0,2026-01-05,2026-03-16
PINNACLE CONSTRUCTION,3,12000.0,6.550218340611353,1832.0,2026-02-13,2026-04-08
DREW'S UNITED ROOFING & SIDING OF NE INC,3,9700.0,7.542768273716952,1200.0,2025-11-06,2026-03-20
ORLANDO'S LANDSCAPING & CONCRETE LLC,3,9700.0,4.876822523881348,1989.0,2025-11-13,2026-03-06
A&G ROOFING,3,9000.0,8.00711743772242,1124.0,2025-11-13,2026-01-12
NEBRASKALAND ROOFING,3,8600.0,6.761006289308176,1272.0,2026-02-04,2026-03-31
TCI GENERAL CONTRACTING SERVICES,3,8500.0,6.961506961506961,1221.0,2025-11-05,2025-11-22
BELL CONTRACTING LLC,3,7000.0,4.069767441860465,1720.0,2026-03-09,2026-03-19
ONYX ROOFING LLC,3,6000.0,5.159071367153913,1163.0,2025-11-04,2026-02-09
WARREN ROOFING,3,6000.0,4.090909090909091,1100.0,2025-11-02,2026-03-17
TEN PENNY EXTERIORS,3,5200.0,6.933333333333334,750.0,2026-01-09,2026-03-17
PREMIER ROOFING COMPANY,3,4914.0,4.918918918918919,1000.0,2025-11-04,2026-04-01
ARTISAN ROOFING,3,4500.0,2.5086839058278656,1668.0,2026-01-08,2026-04-08
HERNANDEZ CONSTRUCTION CO LLC,3,4500.0,4.166666666666667,1196.0,2026-01-12,2026-04-09
PEERLESS HOMES,3,1000.0,0.5390835579514824,984.0,2025-11-05,2026-04-06
CIACCIO ROOFING CORP,2,42500.0,19.08425609888893,2191.5,2026-01-28,2026-03-18
BB Roofing,2,41321.69,16.522277202553106,2490.5,2025-11-13,2026-02-13
EVEN-EZER CONSTRUCTION INC,2,35000.0,12.786109821494655,2726.5,2025-12-11,2026-04-08
EVOLVECONSTRUCTION.COM,2,29073.035000000003,13.403813641880888,2121.5,2025-11-24,2025-11-24
"MEDALLION ROOFING, LLC DBA TIMEPROOFUSA",2,22195.52,20.736390354437233,1096.0,2026-03-20,2026-03-26
"NASTASE CONTRACTING, INC.",2,20500.0,7.984873810660887,2558.5,2025-12-22,2026-02-16
SCRIBNER ENTERPRISES INC.,2,18786.78,12.634758537375948,1490.5,2025-11-13,2026-03-21
ERNCO INC,2,17160.0,9.876522929500343,1724.0,2026-03-12,2026-03-12
QUICK ROOFING,2,16613.934999999998,10.540961018937946,1515.0,2025-11-21,2026-03-06
"LIGHTNING EXTERIORS, LLC",2,16190.5,9.227948868350353,1706.0,2025-11-12,2025-11-18
H&H EXTERIORS LLC,2,15000.0,6.1861215707369555,2574.0,2026-01-08,2026-04-01
PAPIO ROOFING,2,15000.0,6.536915296729884,2231.5,2026-01-13,2026-02-16
"MLKHEC INC DBA HUSKER HAMMER SIDING, WINDOWS AND ROOFING",2,14350.0,6.440873182404976,2279.0,2025-11-25,2025-12-05
"COMPLETE VENTURES, INC",2,13750.0,7.703651685393258,1801.5,2026-03-17,2026-03-31
CHAMP ROOFING AND EXTERIORS INC,2,13566.32,9.424254492209382,1439.0,2026-01-29,2026-04-10
SUPERIOR CONTRACTORS LLC,2,12935.09,9.075396045427999,1407.0,2025-11-10,2026-03-25
BOSA RESTORATION,2,12000.0,11.14218074521375,1147.0,2025-11-14,2026-02-16
"PRO GRADE EXTERIORS, LLC",2,11832.41,11.514502881686498,1048.5,2025-12-26,2026-02-02
FLIPPING LEGACY LLC,2,11500.0,7.947979425855875,1659.0,2026-02-17,2026-03-12
JIM'S ROOFING & CONTRACTING,2,10650.0,6.263021593322793,1791.0,2025-11-05,2025-12-05
ALL STAR EXTERIORS LLC,2,9500.0,8.573878928016375,1157.0,2025-11-11,2026-03-27
JENSEN ENTERPRISES,2,9500.0,4.9671842932890655,1852.0,2025-11-10,2025-11-11
OPTIMUS ROOFING AND GUTTERS LLC,2,9250.0,9.195893926432849,1005.0,2025-11-03,2025-11-25
"GRANDEL'S CONSTRUCTION & ROOFING, INC",2,8800.0,6.852129419061402,1307.0,2026-01-12,2026-04-13
RAMOS ROOFING,2,8150.0,5.087504147115977,1591.5,2026-03-02,2026-04-03
ADONAI CONTRACTORS LLC,2,8050.0,7.077486272117144,1185.0,2026-03-24,2026-03-24
UNITED SERVICES OF AMERICA,2,7600.0,5.62865990990991,1590.0,2025-11-06,2026-03-26
H&H ROOFING,2,7000.0,4.6316359696641385,1443.0,2026-03-19,2026-03-26
VELAS CONSTRUCTION,2,6600.0,4.915069350505522,1342.5,2026-03-17,2026-04-10
CITY PLANNING,2,6500.0,8.880023640661939,736.0,2026-01-07,2026-04-03
JOHNSON WINDOW INSTALLATIONS,2,6450.0,5.951302352883189,1069.0,2025-11-05,2026-02-13
LASTIME ROOFING,2,6100.0,4.685704639950721,1304.5,2026-03-13,2026-04-03
JBM CONTRACTOR LLC,2,5800.0,4.350422402510695,1710.0,2026-02-24,2026-03-24
NEW ENERGY LLC,2,5750.0,4.1994812848969465,1364.0,2025-11-05,2026-03-18
A1 Roofing pros,2,5500.0,3.2438016528925617,1705.0,2025-12-15,2025-12-15
"CHANDLER & CHANDLER CONSTRUCTION, LLC",2,5500.0,4.544018856478157,1255.0,2025-11-06,2026-04-13
PEAKNEST PROPERTIES LLC,2,5500.0,6.908830100538235,802.0,2026-03-22,2026-03-22
MEJIA ROOFING & CONTRACTORS,2,5070.0,5.592752505782576,2345.5,2026-01-07,2026-02-25
MG FERN PROPERTIES LLC,2,5000.0,3.6923090905785907,1354.0,2025-11-20,2025-11-25
FIRST-RATE CONSTRUCTION LLC,2,4500.0,4.545563721958015,1000.0,2025-11-04,2026-03-30
Weddle and Sons Roofing,2,4362.5,3.1608907660420895,1396.5,2026-02-18,2026-02-18
THOMPSON ROOFING,2,4200.0,3.6261382222981715,1146.0,2026-03-03,2026-03-10
4424 N 142 ST,2,4000.0,3.846554895351143,1090.5,2026-02-03,2026-04-14
APOLLO RESTORATION,2,3250.0,2.727964063384267,1166.0,2026-01-14,2026-02-20
MIDWEST HOMES,1,150000.0,37.11952487008166,4041.0,2025-12-30,2025-12-30
RICH POISEL'S ROOFING LLC,1,92897.47,39.21379062895737,2369.0,2026-01-12,2026-01-12
TC ROOFING,1,45550.0,14.717285945072698,3095.0,2026-03-25,2026-03-25
"1-800-HANSONS, LLC",1,34004.0,17.618652849740933,1930.0,2026-01-07,2026-01-07
N2 EXTERIORS LLC,1,30000.0,25.55366269165247,1174.0,2026-02-10,2026-02-10
ONYX DESIGN & BUILD,1,29000.0,12.724879333040807,2279.0,2025-11-03,2025-11-03
NATHAN JAMES CONSTRUCTION INC.,1,26750.0,14.420485175202156,1855.0,2026-03-04,2026-03-04
CARP'S EXTERIOR INC,1,25536.1,8.823807878369038,2894.0,2026-03-19,2026-03-19
GIANT ROCKS CONSTRUCTION,1,25000.0,19.623233908948194,1274.0,2026-03-19,2026-03-19
J.C. WALSH HOME IMPROVEMENTS,1,25000.0,12.600806451612904,1984.0,2026-03-27,2026-03-27
ONE T CONSTRUCTION,1,24410.0,10.668706293706293,2288.0,2026-02-23,2026-02-23
A&B ROOFING CONSTRUCTION LLC,1,24000.0,7.751937984496124,3096.0,2026-02-12,2026-02-12
Swing coast,1,24000.0,7.393715341959335,3246.0,2026-03-23,2026-03-23
FRC CONSTRUCTION,1,22538.0,7.891456582633054,2856.0,2025-11-20,2025-11-20
SMART ROOF CONTRACTING LLC,1,20600.0,7.279151943462898,2830.0,2026-03-17,2026-03-17
