licensed_company_name,job_count,median_job_value,median_job_value_per_bldg_sf,median_bldg_sf,first_seen,last_seen
RESULTS CONTRACTING,49,13000.0,9.090909090909092,1380.0,2025-11-03,2026-04-03
ROYALTY ROOFING INC,35,8584.06,4.690121654501216,1797.0,2025-11-03,2026-04-14
BULLDOG ROOFING,27,8187.57,5.713721397029305,1173.0,2025-11-17,2026-04-14
"PYRAMID ROOFING (AKA PYRAMID CONTRACTORS, INC)",23,5314.35,3.6692991913746633,1379.0,2025-11-06,2026-04-06
SHAMROCK HILLS LLC,20,15000.0,8.587577787514913,1685.5,2025-11-05,2026-04-08
ANCHOR ROOFING & LANDSCAPING LLC,18,16500.0,10.358677551408018,1770.5,2025-11-03,2026-04-06
MCCOY ROOFING HOLDINGS,18,13500.0,9.090431034852823,1483.5,2025-11-11,2026-04-13
HOMETOWN ROOFING,17,12451.35,9.202380952380953,1232.0,2025-11-18,2026-04-09
RED RHINO ROOFS & SOLAR LLC,17,10210.04,6.131539044730856,1448.0,2025-11-04,2026-04-14
TURTLE ROOFING OMAHA,16,15745.5,10.682510166952056,1287.0,2025-11-03,2026-03-26
HORN INDUSTRIES CORPORATION,15,6000.0,5.147058823529412,1282.0,2025-11-05,2026-04-13
CASA CANO ROOFING EXTERIORS LLC D/B/A ROOFORIA HOME EXTERIORS,15,500.0,0.4198152812762384,1191.0,2025-11-07,2026-04-09
"HOME PRIDE CONTRACTORS, INC",14,18750.0,10.610451076982518,1682.5,2025-11-05,2026-04-03
ERIE CONSTRUCTION MID-WEST INC,13,35460.0,27.40340030911901,1276.0,2025-11-02,2026-04-03
WEATHERGUARD INC,13,14563.0,4.425824731835661,3495.0,2025-11-10,2026-04-13
CANOPY HOLDINGS OF NEBRASKA LLC DBA AGR ROOFING & CONSTRUCTION,13,8299.05,5.512600334448161,1500.0,2025-11-03,2026-04-14
MOOSE ROOFING,12,14013.5,11.885331691549949,1117.0,2025-11-06,2026-04-01
EVERLAST EXTERIORS,12,9111.5,6.13083240307291,1335.5,2025-11-01,2026-04-13
"MCKINNIS ROOFING AND SHEET METAL, LLC",11,13595.0,10.53327922077922,1731.0,2025-11-06,2026-04-13
BEST ROOFING,10,9460.0,7.881264637002342,1144.5,2025-11-28,2026-04-04
MILLARD GUTTERS CO DBA MILLARD ROOFING AND GUTTER,10,8958.5,6.142959770114943,1223.5,2025-11-03,2026-04-13
