pin,property_a,house,street_dir,street_nam,street_typ,apartment,prop_city,prop_zip,land_value,improvemen,total_valu,class,school_dis,numbldgs,bldg_numb,bldg_sf,bldg_story,bldg_yrblt,bldg_desc,quality,condition,acres,sq_feet,centroid_latitude,centroid_longitude,source_county
0130570002,11716 MAYBERRY ST,11716, ,MAYBERRY,ST, ,OMAHA,68154,35100.0,232700.0,267800.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,1424.0,1.0,1962.0,Mult Level,Average,Average,0.45,20000.0,41.25077409886637,-96.09584696900752,douglas
0135970000,10102 F ST,10102, ,F,ST, ,OMAHA,68127,707100.0,3443200.0,4150300.0,I,WESTSIDE COMM. SCHOOL DISTRICT,2.0,1,66256.0,1.0,1971.0,Indust Lght Manufacturing,Good,Average,5.41,235690.0,41.22043219155783,-96.07105397134593,douglas
0143380000,6818 HARTMAN AV,6818, ,HARTMAN,AV, ,OMAHA,68104,29700.0,200200.0,229900.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,2034.0,1.0,1958.0,Raised Ranch,Average,Fair,1.6164,70411.0,41.311027506882674,-96.01801504371842,douglas
0208410000,2855 BRISTOL ST,2855, ,BRISTOL,ST, ,OMAHA,68111,7700.0,177500.0,185200.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,1739.0,1.5,1910.0,1 1/2 Story Fin,Average,Very Good,0.13,5808.0,41.28889810391684,-95.9544867003284,douglas
0225480002,4657 MARTHA ST,4657, ,MARTHA,ST, ,OMAHA,68106,17400.0,201600.0,219000.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,1058.0,1.0,1958.0,Mult Level,Average,Average,0.18,7980.0,41.23773517984158,-95.98401578640633,douglas
0232430000,3458 S 16 ST,3458,S,16,ST, ,OMAHA,68108,15600.0,191000.0,206600.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,1624.0,1.5,1933.0,1 1/2 Story Fin,Average,Average,0.13,5969.0,41.22628258581577,-95.93771650666281,douglas
0236990000,10405 CALHOUN RD,10405, ,CALHOUN,RD, ,OMAHA,68112,35600.0,107600.0,143200.0,C,OMAHA PUBLIC SCHOOL DISTRICT,2.0,1,3563.0,2.0,1930.0,Bar/Tavern,Average,Average,0.65,28440.0,41.353396191423435,-95.97346613049747,douglas
0237330001,11521 NORTH POST RD,11521, ,NORTH POST,RD, ,DOUGLAS COUNTY,68112,28900.0,146000.0,174900.0,F,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,1046.0,1.0,1959.0,Ranch,Average,Fair,0.46,20037.0,41.364456465191324,-95.97525623892184,douglas
0414900000,2208 O ST,2208, ,O,ST, ,OMAHA,68107,22200.0,110400.0,132600.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,960.0,1.5,1900.0,1 1/2 Story Fin,Average,Good,0.35,15300.0,41.20858139193753,-95.94460569135434,douglas
0425980000,4115 S 36 AV,4115,S,36,AV, ,OMAHA,68107,14300.0,155800.0,170100.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,1063.0,1.0,1950.0,Raised Ranch,Average,Average,0.14,6500.0,41.21912865466568,-95.96714748644389,douglas
