licensed_company_name,source_county,job_count,median_job_value,median_forest_point_estimate,median_comp_median,median_recommended_band_low,median_recommended_band_high,first_seen,last_seen
RESULTS CONTRACTING,douglas,49,13000.0,11305.794474783777,10200.0,4727.5665,20631.556999999997,2025-11-03,2026-04-03
ROYALTY ROOFING INC,douglas,35,8584.06,9207.571976107118,11642.0,5081.0135,26534.399999999987,2025-11-03,2026-04-14
BULLDOG ROOFING,douglas,27,8187.57,8352.356186410774,9950.0,5086.9315,19867.59249999999,2025-11-17,2026-04-14
"PYRAMID ROOFING (AKA PYRAMID CONTRACTORS, INC)",douglas,23,5314.35,7487.044439998028,10237.525,4768.3885,26299.99999999999,2025-11-06,2026-04-06
SHAMROCK HILLS LLC,douglas,20,15000.0,13480.41983683795,14235.435000000001,6671.94525,22799.999999999996,2025-11-05,2026-04-08
ANCHOR ROOFING & LANDSCAPING LLC,douglas,18,16500.0,16513.17097144789,12086.5,4946.24675,28401.843749999993,2025-11-03,2026-04-06
MCCOY ROOFING HOLDINGS,douglas,18,13500.0,11353.404036154916,9532.5,3917.946,22175.32799999999,2025-11-11,2026-04-13
4140 S 52ND ST.,douglas,18,9480.0,8180.536496492425,8942.5,4327.0275,18514.701499999996,2025-12-01,2026-03-27
HOMETOWN ROOFING,douglas,17,12451.35,10196.379048451583,9322.915,4361.463,20450.0,2025-11-18,2026-04-09
RED RHINO ROOFS & SOLAR LLC,douglas,17,10210.04,9745.119982047121,13761.5,6848.3,26893.61299999999,2025-11-04,2026-04-14
TURTLE ROOFING OMAHA,douglas,16,15745.5,10818.35644461003,9917.5,5053.98175,23463.77499999999,2025-11-03,2026-03-26
HORN INDUSTRIES CORPORATION,douglas,15,6000.0,6468.207023179887,8975.0,3234.05,20639.649999999998,2025-11-05,2026-04-13
CASA CANO ROOFING EXTERIORS LLC D/B/A ROOFORIA HOME EXTERIORS,douglas,15,500.0,1151.0789478600318,10000.0,4359.05,18191.535499999998,2025-11-07,2026-04-09
"HOME PRIDE CONTRACTORS, INC",douglas,14,18750.0,12369.346617387244,10028.9225,5079.4842499999995,24612.868499999997,2025-11-05,2026-04-03
ERIE CONSTRUCTION MID-WEST INC,douglas,13,35460.0,16657.600677274382,10800.0,5076.836,27085.04999999999,2025-11-02,2026-04-03
WEATHERGUARD INC,douglas,13,14563.0,17235.623081241865,20934.0,7244.4785,67040.99999999996,2025-11-10,2026-04-13
CANOPY HOLDINGS OF NEBRASKA LLC DBA AGR ROOFING & CONSTRUCTION,douglas,13,8299.05,9713.35699218309,12966.32,5232.0,25760.413499999995,2025-11-03,2026-04-14
MOOSE ROOFING,douglas,12,14013.5,11196.960974049696,9148.5,3510.17875,19676.0055,2025-11-06,2026-04-01
EVERLAST EXTERIORS,douglas,12,9111.5,8767.100917815384,11140.869999999999,4816.1035,24123.55949999999,2025-11-01,2026-04-13
"MCKINNIS ROOFING AND SHEET METAL, LLC",douglas,11,13595.0,15169.430305869037,9080.96,5791.35,17395.1865,2025-11-06,2026-04-13
BEST ROOFING,douglas,10,9460.0,7687.182531354152,9085.25,4495.6525,18495.946249999994,2025-11-28,2026-04-04
MILLARD GUTTERS CO DBA MILLARD ROOFING AND GUTTER,douglas,10,8958.5,8280.452877504187,8838.575,4256.82875,20216.406499999997,2025-11-03,2026-04-13
BN ENTERPRISES LLC,douglas,9,10682.41,10386.933225849503,7660.0,3150.0,15585.0,2025-11-05,2026-04-13
White Castle Roofing,douglas,9,7325.0,9531.540726387779,9593.96,5649.332,19367.898999999994,2026-03-17,2026-04-09
SOUTH O ROOFING,douglas,8,15500.0,14457.913975859741,11101.25,5685.991,23690.253249999998,2025-11-04,2026-04-14
VERNCO ROOFING,douglas,8,6220.77,7443.98841314627,10046.369999999999,4579.2212500000005,28002.174999999996,2025-11-04,2026-04-13
SKYLINE IMAGING LLC,douglas,7,19950.0,16410.557423481434,12574.41,6593.664,22693.0065,2025-11-18,2026-04-13
AVID RESTORATION LLC,douglas,7,11600.0,9141.424613398147,10800.0,4768.3885,20109.55,2025-11-03,2026-04-14
