subject_record_number,subject_record_date,subject_source_county,subject_address,subject_company_name,subject_job_value,neighbor_rank,distance,neighbor_record_number,neighbor_record_date,neighbor_source_county,neighbor_company_name,neighbor_address,neighbor_prop_zip,neighbor_bldg_sf,neighbor_job_value
BLD-25-15429,2025-11-01,douglas,5010 N 40 ST,EVERLAST EXTERIORS,14123.0,1,1.1619711019278816,BLD-25-15522,2025-11-04,douglas,SOUTH O ROOFING,7078 GIRARD ST,68152,1561.0,14000.0
BLD-25-15429,2025-11-01,douglas,5010 N 40 ST,EVERLAST EXTERIORS,14123.0,2,1.167857537980608,BLD-25-15635,2025-11-05,douglas,JOHNSON WINDOW INSTALLATIONS,7315 N 76 ST,68122,1233.0,8000.0
BLD-25-15429,2025-11-01,douglas,5010 N 40 ST,EVERLAST EXTERIORS,14123.0,3,1.2492041562078142,BLD-26-03058,2026-04-01,douglas,MAYDAY RESTORATION LLC,7523 N 73 CR,68122,1233.0,10249.42
BLD-25-15429,2025-11-01,douglas,5010 N 40 ST,EVERLAST EXTERIORS,14123.0,4,1.3415159890877626,BLD-25-15763,2025-11-06,douglas,RESULTS CONTRACTING,6333 N 51 AV,68104,1202.0,12000.0
BLD-25-15429,2025-11-01,douglas,5010 N 40 ST,EVERLAST EXTERIORS,14123.0,5,1.347483710925777,BLD-25-17013,2025-12-23,douglas,CASA CANO ROOFING EXTERIORS LLC D/B/A ROOFORIA HOME EXTERIORS,3186 MEREDITH AV,68111,1500.0,500.0
BLD-25-15429,2025-11-01,douglas,5010 N 40 ST,EVERLAST EXTERIORS,14123.0,6,1.3909721563388937,BLD-25-16615,2025-12-04,douglas,HOMETOWN ROOFING,8709 DECATUR ST,68114,1734.0,22344.2
BLD-25-15429,2025-11-01,douglas,5010 N 40 ST,EVERLAST EXTERIORS,14123.0,7,1.3958503643618354,BLD-25-16767,2025-12-11,douglas,SOUTH O ROOFING,7125 IOWA ST,68152,1441.0,23000.0
BLD-25-15429,2025-11-01,douglas,5010 N 40 ST,EVERLAST EXTERIORS,14123.0,8,1.4392416442687261,BLD-26-03168,2026-04-03,douglas,"HOME PRIDE CONTRACTORS, INC",8045 MANDERSON CR,68134,1510.0,20000.0
BLD-25-15429,2025-11-01,douglas,5010 N 40 ST,EVERLAST EXTERIORS,14123.0,9,1.4536801711020149,BLD-25-16426,2025-11-25,douglas,"PYRAMID ROOFING (AKA PYRAMID CONTRACTORS, INC)",5404 FORT ST,68104,2088.0,7685.11
BLD-25-15429,2025-11-01,douglas,5010 N 40 ST,EVERLAST EXTERIORS,14123.0,10,1.4786860061834575,BLD-25-17094,2025-12-30,douglas,TURTLE ROOFING OMAHA,7526 ERNST ST,68122,1278.0,12455.62
BLD-25-15429,2025-11-01,douglas,5010 N 40 ST,EVERLAST EXTERIORS,14123.0,11,1.5636848504260126,BLD-26-00480,2026-01-16,douglas,HOME ONE ROOFING,10518 MARY ST,68122,1571.0,17652.47
