record_number,record_date,permit_type,status,source_county,property_a,prop_city,prop_zip,licensed_company_name,roof_covering_material,bldg_sf,total_valu,property_age,job_value,source_date_range_start,source_date_range_end,forest_point_estimate,comp_median,comp_low_10,comp_high_90,comp_low_05,comp_high_95,comp_neighbor_count,recommended_band_low,recommended_band_high,actual_minus_comp_median,actual_vs_comp_median_pct,forest_minus_comp_median
BLD-25-15429,2025-11-01,RE-ROOF,Issued,douglas,5010 N 40 ST,OMAHA,68111,EVERLAST EXTERIORS,Asphalt,1800.0,206500.0,21.0,14123.0,2025-11-01,2025-11-06,11042.878560942445,13227.810000000001,7716.599,22109.780000000002,4451.8105,22639.31,12,4451.8105,22639.31,895.1899999999987,0.06767484564716296,-2184.9314390575564
BLD-25-15430,2025-11-01,RE-ROOF,Closed,douglas,2712 N 130 ST,OMAHA,68164,"JDM ROOFING, LLC",Asphalt,1533.0,280600.0,41.0,11000.0,2025-11-01,2025-11-06,10010.462252758223,9206.630000000001,6212.055,15606.515000000001,5765.3,19867.59249999999,12,5765.3,19867.59249999999,1793.369999999999,0.19479114507697157,803.8322527582222
BLD-25-15434,2025-11-02,RE-ROOF,Issued,douglas,9606 AMES AV,OMAHA,68134,WARREN ROOFING,Asphalt,1100.0,248300.0,53.0,4500.0,2025-11-01,2025-11-06,7906.475636674145,8063.5,4912.926,14706.919,4817.5914999999995,15780.099999999999,12,4817.5914999999995,15780.099999999999,-3563.5,-0.44192968314007564,-157.02436332585512
BLD-25-15437,2025-11-02,RE-ROOF,Closed,douglas,4724 S 136 ST,OMAHA,68137,ERIE CONSTRUCTION MID-WEST INC,Asphalt,864.0,151700.0,66.0,15454.0,2025-11-01,2025-11-06,6723.5609472398,7085.5,3445.2,14248.757,1870.45,14595.0515,12,1870.45,14595.0515,8368.5,1.181074024416061,-361.93905276019996
BLD-25-15439,2025-11-03,RE-ROOF,Issued,douglas,3220 N 40 AV,OMAHA,68111,JASTORFFINC,Asphalt,660.0,72300.0,74.0,3700.0,2025-11-01,2025-11-06,4388.874294883131,7250.0,3120.0,9974.512,2397.0,10990.485999999999,12,2397.0,10990.485999999999,-3550.0,-0.4896551724137931,-2861.1257051168686
BLD-25-15446,2025-11-03,RE-ROOF,Closed,douglas,13124 SEWARD ST,OMAHA,68154,RESULTS CONTRACTING,Asphalt,3243.0,482800.0,34.0,27000.0,2025-11-01,2025-11-06,21744.976145072094,14618.0,10192.18,25282.489999999998,9550.0,26194.855,12,9550.0,26194.855,12382.0,0.8470378984813244,7126.976145072094
BLD-25-15448,2025-11-03,RE-ROOF,Closed,douglas,2705 N 153 AV,OMAHA,68116,CANOPY HOLDINGS OF NEBRASKA LLC DBA AGR ROOFING & CONSTRUCTION,Asphalt,1641.0,342600.0,32.0,12658.3,2025-11-01,2025-11-06,11561.307974783836,14576.5,6433.3,23447.178,5232.0,25760.413499999995,12,5232.0,25760.413499999995,-1918.2000000000007,-0.13159537611909586,-3015.1920252161635
BLD-25-15449,2025-11-03,RE-ROOF,Issued,douglas,4925 WILLIAM ST,OMAHA,68106,OPTIMUS ROOFING AND GUTTERS LLC,Asphalt,1008.0,265000.0,99.0,12000.0,2025-11-01,2025-11-06,10389.678120835066,8210.0,5028.9,19505.8,4517.87,26534.399999999987,12,4517.87,26534.399999999987,3790.0,0.46163215590742995,2179.678120835066
BLD-25-15451,2025-11-03,RE-ROOF,Issued,douglas,5033 S 90 ST,OMAHA,68127,TURTLE ROOFING OMAHA,Asphalt,1196.0,247700.0,56.0,16300.0,2025-11-01,2025-11-06,10862.515042123512,9280.5,4871.672,14726.474,2654.7940000000003,31161.515999999974,12,2654.7940000000003,31161.515999999974,7019.5,0.7563708851893756,1582.015042123512
BLD-25-15453,2025-11-03,RE-ROOF,Issued,douglas,3127 N 50 ST,OMAHA,68104,ANCHOR ROOFING & LANDSCAPING LLC,Asphalt,1524.0,212900.0,85.0,15000.0,2025-11-01,2025-11-06,10493.044892301057,10294.5,2428.2300000000005,27158.100000000002,1380.0,28629.949999999997,12,1380.0,28629.949999999997,4705.5,0.4570887367040653,198.5448923010572
